question,answer
What is your cancellation policy?,"You can cancel up to 7 days before the travel date for a full refund. Cancellations between 3–7 days get a partial refund. Less than 48 hours gets no refund."
Do you provide travel insurance?,"Yes, Travelounce provides optional travel insurance at a small additional cost during checkout."
How can I change my booking?,"You can modify your booking by contacting customer support with your booking ID. Change fees may apply."
How do I check my booking status?,"You can check your booking status using your registered mobile number or email on the Travelounce MyTrips page."
Can I reschedule my trip?,"Yes, rescheduling is allowed based on availability. Additional charges may apply during peak seasons."
Do you offer group discounts?,"Yes, we offer group discounts for bookings of 4 or more travelers."
What payment methods do you accept?,"We accept credit/debit cards, UPI, Net Banking, and Wallet payments."
How long does a refund take?,"Refunds are processed within 5–7 business days depending on your payment method."
Is EMI available?,"Yes, EMI is available on select credit cards."
Why is my booking pending?,"Your booking may be pending due to payment confirmation delays or vendor verification."
How do I apply a coupon?,"You can apply a coupon on the checkout page in the 'Apply Coupon' section."
Can I upgrade my hotel category?,"Yes, you can upgrade anytime before the final confirmation."
Do you offer airport pickup?,"Many packages include airport pickup. You will see this mentioned in the inclusions section."
Do kids get a discount?,"Children below 5 years often travel free. Discounts vary by package."
Is food included in the package?,"Most packages include breakfast. Some include all meals — check package details."
